0	162	95
1	142	117
2	92	96
3	187	53
4	128	65
5	9	32
6	183	50
7	5	64
8	123	18
9	26	57
10	96	136
11	132	175
12	113	72
13	188	85
14	91	24
15	93	87
16	32	134
17	117	35
18	151	55
19	148	87
20	50	85
21	164	195
22	180	41
23	96	135
24	128	7
25	158	15
26	114	184
27	197	111
28	75	93
29	138	105
30	67	114
31	7	143
32	109	98
33	176	138
34	16	194
35	84	85
36	199	38
37	47	13
38	187	22
39	110	166
40	81	119
41	44	49
42	95	113
43	154	195
44	183	160
45	44	163
46	90	69
47	17	133
48	20	117
49	81	23
50	125	61
51	31	30
52	168	88
53	158	114
54	93	195
55	100	62
56	5	53
57	28	160
58	27	64
59	177	150
60	116	49
61	195	16
62	199	163
63	48	150
64	196	40
65	45	26
66	157	109
67	87	4
68	194	148
69	190	9
70	127	88
71	153	65
72	192	97
73	81	182
74	93	7
75	151	198
76	83	182
77	42	187
78	93	113
79	126	184
80	9	55
81	72	157
82	162	164
83	134	3
84	128	91
85	65	157
86	168	181
87	147	12
88	135	76
89	22	34
90	74	175
91	10	97
92	116	50
93	68	87
94	69	155
95	35	194
96	21	67
97	193	48
98	87	17
99	30	139
