0	195	170	0	60	
1	13	66	0	71	
2	139	130	0	96	
3	29	16	0	53	
4	111	101	0	42	
5	92	0	1	5	
6	183	187	0	60	
7	53	171	0	72	
8	75	133	0	66	
9	123	57	0	23	
10	17	171	0	44	
11	139	33	0	23	
12	183	175	0	78	
13	150	62	1	13	
14	31	157	0	66	
15	162	64	0	13	
16	48	0	0	62	
17	55	101	0	91	
18	126	139	0	39	
19	146	181	0	78	
20	96	35	0	23	
21	141	3	1	21	
22	52	153	0	66	
23	117	37	1	23	
24	165	158	0	78	
25	159	85	0	13	
26	126	166	0	39	
27	147	60	0	13	
28	30	168	0	44	
29	150	85	0	13	
30	73	108	0	91	
31	91	83	0	91	
32	103	47	0	23	
33	108	72	0	42	
34	165	97	0	96	
35	157	82	0	13	
36	23	170	0	44	
37	164	146	0	96	
38	103	149	0	39	
39	119	162	1	39	
40	98	93	0	42	
41	187	19	0	45	
42	118	105	1	42	
43	10	14	0	53	
44	2	176	1	44	
45	191	5	1	45	
46	36	179	0	72	
47	30	81	0	71	
48	200	160	0	51	
49	168	187	0	78	
50	79	160	0	72	
51	196	140	1	51	
52	191	70	1	52	
53	16	9	1	53	
54	57	162	0	72	
55	177	65	0	52	
56	158	48	0	13	
57	82	150	0	39	
58	10	62	0	71	
59	100	153	0	39	
60	199	193	1	60	
61	107	29	0	23	
62	58	24	1	62	
63	74	92	0	91	
64	36	124	0	66	
65	175	104	0	96	
66	36	135	1	66	
67	164	58	0	13	
68	86	24	0	5	
69	158	5	0	21	
70	144	65	0	13	
71	2	99	1	71	
72	60	188	1	72	
73	163	172	0	78	
74	105	75	0	42	
75	69	12	0	62	
76	112	148	0	39	
77	172	135	0	96	
78	161	176	1	78	
79	136	166	0	39	
80	183	71	0	52	
81	73	5	0	5	
82	94	69	0	91	
83	22	173	0	44	
84	58	19	0	62	
85	187	16	0	45	
86	111	172	0	39	
87	51	166	0	72	
88	96	73	0	91	
89	177	185	0	78	
90	70	62	0	91	
91	72	81	1	91	
92	35	193	0	72	
93	145	30	0	21	
94	186	130	0	51	
95	128	200	0	39	
96	152	132	1	96	
97	117	119	0	42	
98	7	91	0	71	
99	131	60	0	13	
